match_id,season,venue,start_date,innings,balls,batting_team,bowling_team,cur_score,crr,balls_left,wicket_left,last_5_ov,city,total_score
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,89,Karnali Yaks,Biratnagar Kings,103,6.94,31,8,38,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,90,Karnali Yaks,Biratnagar Kings,104,6.93,30,8,38,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,91,Karnali Yaks,Biratnagar Kings,110,7.25,29,8,40,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,92,Karnali Yaks,Biratnagar Kings,111,7.24,28,8,39,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,93,Karnali Yaks,Biratnagar Kings,111,7.16,27,7,38,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,94,Karnali Yaks,Biratnagar Kings,111,7.09,26,6,34,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,95,Karnali Yaks,Biratnagar Kings,111,7.01,25,6,33,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,96,Karnali Yaks,Biratnagar Kings,111,6.94,24,6,32,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,97,Karnali Yaks,Biratnagar Kings,112,6.93,23,6,32,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,98,Karnali Yaks,Biratnagar Kings,113,6.92,22,6,32,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,99,Karnali Yaks,Biratnagar Kings,114,6.91,21,6,33,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,100,Karnali Yaks,Biratnagar Kings,114,6.84,20,5,32,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,101,Karnali Yaks,Biratnagar Kings,115,6.83,19,5,33,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,102,Karnali Yaks,Biratnagar Kings,116,6.82,18,5,33,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,103,Karnali Yaks,Biratnagar Kings,120,6.99,17,5,37,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,104,Karnali Yaks,Biratnagar Kings,120,6.92,16,5,36,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,105,Karnali Yaks,Biratnagar Kings,120,6.86,15,5,30,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,106,Karnali Yaks,Biratnagar Kings,120,6.79,14,5,30,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,107,Karnali Yaks,Biratnagar Kings,120,6.73,13,5,29,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,108,Karnali Yaks,Biratnagar Kings,121,6.72,12,5,28,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,109,Karnali Yaks,Biratnagar Kings,121,6.66,11,5,28,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,110,Karnali Yaks,Biratnagar Kings,125,6.82,10,5,32,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,111,Karnali Yaks,Biratnagar Kings,126,6.81,9,5,33,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,112,Karnali Yaks,Biratnagar Kings,127,6.8,8,5,33,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,113,Karnali Yaks,Biratnagar Kings,133,7.06,7,5,39,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,114,Karnali Yaks,Biratnagar Kings,133,7.0,6,4,35,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,115,Karnali Yaks,Biratnagar Kings,133,6.94,5,3,35,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,116,Karnali Yaks,Biratnagar Kings,133,6.88,4,3,34,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,117,Karnali Yaks,Biratnagar Kings,133,6.82,3,3,33,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,118,Karnali Yaks,Biratnagar Kings,133,6.76,2,2,32,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,119,Karnali Yaks,Biratnagar Kings,133,6.71,1,1,30,Kathmandu,133
13,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-07,1,120,Karnali Yaks,Biratnagar Kings,133,6.65,0,0,29,Kathmandu,133
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,6,Janakpur Bolts,Lumbini Lions,6,6.0,114,10,6,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,7,Janakpur Bolts,Lumbini Lions,6,5.14,113,10,6,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,8,Janakpur Bolts,Lumbini Lions,7,5.25,112,10,7,Kathmandu,136
14,2024,"Tribhuvan University International Cricket Ground, Kirtipur",2024-12-08,1,9,Janakpur Bolts,Lumbini Lions,7,4.67,111,10,7,Kathmandu,136
